inst_id,y,syst_id,syst_features,syst_prediction,syst_pred_loss,score,assr_conf,assr_pred_loss
432,5,4,[],"[[0.00031063967617228627, 0.034148991107940674, 0.00019685857114382088, 0.006047114729881287, 0.05209358036518097, 0.9071247577667236, 7.809812086634338e-05]]",0.0974753,1.0,[0.9942481517791748],0
2164,3,1,[],"[[0.01826740801334381, 0.000664679566398263, 0.0033363844268023968, 0.9687517285346985, 0.00048304314259439707, 8.581280417274684e-05, 0.008410914801061153]]",0.031746935,1.0,[0.9916205406188965],0
1587,5,2,[],"[[8.414729677497235e-07, 0.0231923907995224, 1.1865810165545554e-06, 1.99404912564205e-05, 7.849129906389862e-05, 0.9765234589576721, 0.00018364391871728003]]",0.023756504,1.0,[0.999219536781311],0
1010,5,3,[],"[[3.4492659324314445e-06, 0.03583216294646263, 8.7352982518496e-06, 2.446960934321396e-05, 0.0003813000803347677, 0.9636943936347961, 5.5452677770517766e-05]]",0.036981046,1.0,[0.9997816681861877],0
433,6,4,[],"[[0.07713879644870758, 0.02329249307513237, 0.013931576162576675, 0.03431031107902527, 5.9938960475847125e-05, 0.0016852408880367875, 0.8495816588401794]]",0.16301121,1.0,[0.9128133058547974],0
2165,5,1,[],"[[6.700577728224744e-07, 0.0034320964477956295, 9.821376778518243e-08, 4.836468558977458e-09, 0.00015930338122416288, 0.996407687664032, 7.045686345463764e-08]]",0.0035987631,1.0,[0.99986732006073],0
1588,0,2,[],"[[0.943047046661377, 0.0160065907984972, 0.0033568537328392267, 0.0004251422069501132, 0.0043297517113387585, 6.321880937321112e-05, 0.03277141600847244]]",0.05863912,1.0,[0.8563292026519775],0
1011,2,3,[],"[[0.03806618973612785, 0.0009424079908058047, 0.3455674350261688, 0.000604001572355628, 6.148542888695374e-05, 0.0001527283457107842, 0.6146057844161987]]",1.0625675,0.0,[0.7530024647712708],1
434,4,4,[],"[[0.018688542768359184, 0.1068025454878807, 0.004685229156166315, 0.008218902163207531, 0.8278360962867737, 0.02322886884212494, 0.01053987629711628]]",0.1889401,1.0,[0.7680978178977966],0
2166,0,1,[],"[[0.609691858291626, 0.008783264085650444, 0.04510744661092758, 0.01254334021359682, 0.00019406736828386784, 0.00011323596118018031, 0.3235667943954468]]",0.49480164,1.0,[0.8624271154403687],0
1589,2,2,[],"[[0.007158220745623112, 0.0013417401351034641, 0.889696478843689, 0.00039129992364905775, 2.571680624896544e-06, 2.378795755930696e-07, 0.10140957683324814]]",0.11687494,1.0,[0.8307325839996338],0
1012,1,3,[],"[[0.19233833253383636, 0.2791713774204254, 0.03982943296432495, 0.055942218750715256, 0.02498059719800949, 0.012454748153686523, 0.3952832818031311]]",1.2759295,0.0,[0.7696580290794373],1
435,3,4,[],"[[0.00012522890756372362, 0.00022523410734720528, 0.0014735932927578688, 0.9899283051490784, 1.2905212543046218e-06, 0.007333637215197086, 0.0009126645745709538]]",0.010122747,1.0,[0.9974417686462402],0
2167,1,1,[],"[[0.0063759139738976955, 0.9135379791259766, 0.00010945948451990262, 4.210734459775267e-06, 0.0004960381775163114, 0.07932537794113159, 0.0001510366564616561]]",0.09043035,1.0,[0.9919188618659973],0
1590,5,2,[],"[[4.996061875317537e-07, 0.014408097602427006, 4.96199731969682e-07, 2.4497230697306804e-05, 5.246630098554306e-05, 0.985373318195343, 0.00014056049985811114]]",0.01473473,1.0,[0.9985244870185852],0
1013,0,3,[],"[[0.810476541519165, 0.010608806274831295, 0.04666924476623535, 0.0031698995735496283, 0.0001802615588530898, 0.00021750744781456888, 0.12867778539657593]]",0.2101329,1.0,[0.7351261377334595],0
436,0,4,[],"[[0.7531883120536804, 0.00820664968341589, 0.027063097804784775, 0.014271012507379055, 8.127992623485625e-05, 0.0009658578783273697, 0.19622381031513214]]",0.28343996,1.0,[0.896765410900116],0
2168,5,1,[],"[[1.5081132005434483e-05, 0.11946821212768555, 1.3541431371777435e-06, 4.5507487556051274e-08, 0.0019002421759068966, 0.8786128759384155, 2.16666512642405e-06]]",0.12941092,1.0,[0.9968969821929932],0
1591,1,2,[],"[[0.009252747520804405, 0.5880330801010132, 0.001848969841375947, 0.0010742386803030968, 0.2211904525756836, 0.16568978130817413, 0.012910719029605389]]",0.5309721,1.0,[0.9434986710548401],0
1014,5,3,[],"[[1.1406150406401139e-05, 0.02564540132880211, 3.209387796232477e-05, 4.001036359113641e-05, 0.0010765527840703726, 0.9731142520904541, 8.031350444070995e-05]]",0.02725376,1.0,[0.9997867941856384],0
437,1,4,[],"[[0.0038128485903143883, 0.06548111885786057, 0.0012858090922236443, 0.00023419628269039094, 0.9263539910316467, 0.0022335436660796404, 0.0005983674200251698]]",2.7259934,0.0,[0.6406470537185669],1
2169,2,1,[],"[[0.07201875746250153, 0.001932251383550465, 0.7077726721763611, 0.0015977396396920085, 9.904425678541884e-05, 6.709132139803842e-05, 0.2165125012397766]]",0.3456323,1.0,[0.6905592679977417],0
1592,6,2,[],"[[0.031021663919091225, 0.011844264343380928, 0.40581411123275757, 0.002642510225996375, 4.160583557677455e-05, 3.0794810754741775e-06, 0.548632800579071]]",0.60032594,1.0,[0.45562803745269775],0
1015,2,3,[],"[[0.31169062852859497, 0.03300943225622177, 0.10909003019332886, 0.045183539390563965, 0.0011168407509103417, 0.0015014481032267213, 0.49840816855430603]]",2.215582,0.0,[0.2522113025188446],0
438,3,4,[],"[[0.0005856928182765841, 0.0003122491471003741, 0.003986279014497995, 0.9857962727546692, 6.986608696024632e-07, 0.005565896164625883, 0.00375286559574306]]",0.014305537,1.0,[0.9978041052818298],0
2170,5,1,[],"[[7.92148603068199e-06, 0.019987421110272408, 1.5104585600056453e-06, 6.663838547638079e-08, 0.00034393687383271754, 0.9796579480171204, 1.171045141745708e-06]]",0.020551827,1.0,[0.9993934631347656],0
1593,5,2,[],"[[3.965521955251461e-06, 0.08160372823476791, 9.838227015279699e-06, 3.3120020816568285e-05, 0.0007281914004124701, 0.9173145890235901, 0.0003065338241867721]]",0.0863048,1.0,[0.9914867877960205],0
1016,0,3,[],"[[0.7396554946899414, 0.012936749495565891, 0.0769728273153305, 0.009457712061703205, 0.0003588310210034251, 0.0003702449903357774, 0.16024810075759888]]",0.30157077,1.0,[0.7059422135353088],0
439,3,4,[],"[[0.0033155102282762527, 0.0011888622539117932, 0.007599976379424334, 0.9703457355499268, 6.646309429925168e-06, 0.004791030660271645, 0.012752252630889416]]",0.030102823,1.0,[0.992497980594635],0
2171,6,1,[],"[[0.05597205460071564, 0.00514123635366559, 0.00783325731754303, 0.005231243558228016, 0.00014107684546615928, 2.813105493260082e-05, 0.9256529808044434]]",0.07725586,1.0,[0.6247646808624268],0
1594,2,2,[],"[[0.029101470485329628, 0.0015897719422355294, 0.7111178636550903, 0.002965217223390937, 4.0413201531919185e-06, 3.1448797699340503e-07, 0.25522127747535706]]",0.34091708,1.0,[0.6168680191040039],0
1017,0,3,[],"[[0.8971633315086365, 0.057155851274728775, 0.029256917536258698, 0.00019723601872101426, 0.00043037885916419327, 5.996994877932593e-05, 0.015736330300569534]]",0.10851736,1.0,[0.8892757296562195],0
440,0,4,[],"[[0.1869581937789917, 0.0199438463896513, 0.2665432393550873, 0.02466408535838127, 0.0003242161183152348, 0.0026981793344020844, 0.4988682270050049]]",1.6768703,0.0,[0.38547608256340027],0
2172,5,1,[],"[[9.723911489345483e-07, 0.00510756578296423, 8.35022575529365e-08, 2.6809061637322884e-09, 9.896072697301861e-06, 0.9948815107345581, 2.9739592122268732e-08]]",0.005131645,1.0,[0.9998360872268677],0
1595,6,2,[],"[[0.10112795978784561, 0.0417221300303936, 0.05181402713060379, 0.01744656451046467, 0.0011336145689710975, 0.0001389722601743415, 0.7866166830062866]]",0.24001418,1.0,[0.9343886971473694],0
1018,4,3,[],"[[0.007617756724357605, 0.06700021773576736, 0.013630906119942665, 0.002528338460251689, 0.862298309803009, 0.03564208000898361, 0.011282402090728283]]",0.14815398,1.0,[0.9884535670280457],0
